Direct Client/In-house,1000,,,,
AAA Worldwide Translation,1001,,,,
"Action Translation Sevices, Inc.",1002,,,,
AD-COM Garry,1003,,,,
AD-COM Mathieu,1004,,,,
Advanced Translation Services,1005,,,,
Affinity Languages Services,1006,,,,
aLanguageBank,1007,,,,
Alboum & Associates Language Services,1008,,,,
All Language Alliance,1009,,,,
"AllWorld Language Consultants, Inc.",1010,,,,
"ALTA Language Services, Inc.",1011,,,,
Ambassador Service Group,1012,,,,
American Language Services,1013,,,,
Association of Translators & Interpreters,1014,,,,
"ASTA-USA, Inc.",1015,,,,
AVL Books/WorldView Media,1016,,,,
Beeline Communications Inc.,1017,,,,
BTS Translation Services,1018,,,,
"Capital Translations, Inc.",1019,,,,
"CCCS, Inc.",1020,,,,
CD Language Solutions,1021,,,,
Clearpath Comprehensive Translation Services,1022,,,,
Columbia Language Services,1023,,,,
Corporate Translations Inc.,1024,,,,
"Counterpoint Language Consultants, Inc.",1025,,,,
"Drawe Agency, Inc.",1026,,,,
Faisal Madi,1027,,,,
Fluent Language Solutions,1028,,,,
"Garden & Associates, Inc.",1029,,,,
Gaylord Entertainment,1030,,,,
Geo Language Services Ltd.,1031,,,,
"Geotext Translations, Inc.",1032,,,,
Globelink Foreign Language Center,1033,,,,
GLOBO Language Solutions,1034,,,,
Hadi Taleb,1035,,,,
Hailoo,1036,,,,
IAL Services,1037,,,,
ICOM Translation Network,1038,,,,
INGCO International,1039,,,,
Inlingua,1040,,,,
International Translation Agency Ltd.,1041,,,,
Marta Gold Interpreting & Translating Ltd.,1042,,,,
"Interspeak Translations, Inc.",1043,,,,
Jan D. Gibboney Technical Translators,1044,,,,
Joseph Mardelli,1045,,,,
JR Language Translation Services Inc.,1046,,,,
Kwinessential,1047,,,,
L@ Translations & Design Ltd.,1048,,,,
Lan Do Associates,1049,,,,
Language Access Resource Center,1050,,,,
Language Bank,1051,,,,
Language Exchange Inc.,1052,,,,
"Language Fish, LLC",1053,,,,
Language innovations LLC,1054,,,,
Language Services Associates,1055,,,,
LEXICOMM,1056,,,,
Lextracon - Language Solutions and Consul,1057,,,,
Localingua,1058,,,,
Mannheimer Sprachendienst,1059,,,,
MAPA Translations & Language School,1060,,,,
"MEJ Personal Business Services, Inc.",1061,,,,
Mohamad Khasawneh,1062,,,,
Morningside Translations,1063,,,,
Moxie TM Inc.,1064,,,,
"MSI Resources, Inc.",1065,,,,
"MTC Consulting International, Inc.",1066,,,,
MTM LinguaSoft,1067,,,,
Net-Translators,1068,,,,
"Nova Languages, Inc.",1069,,,,
NYU ,1070,,,,
Omnibus Global Translations,1071,,,,
Omnilingua Worldwide,1072,,,,
Palmetto Interpreters,1073,,,,
Panational,1074,,,,
Panational Multilingual Services,1075,,,,
Para-Plus Translations,1076,,,,
"PARENTY REITMEIER, INC.",1077,,,,
PJD Arabic Translation Services,1078,,,,
Primalingua,1079,,,,
Rajaa Al-Saleem,1080,,,,
"RIC International, Inc.",1081,,,,
"Richards Graphic Communications, Inc.",1082,,,,
Rosetta Stone Translations,1083,,,,
RR Donnelley Translation & Multilingual C,1084,,,,
"Sally Low & Associates, Inc.",1085,,,,
SM Consulting,1086,,,,
Spokane International Translation,1087,,,,
Summit Translations,1088,,,,
"Syntes Language Group, Inc.",1089,,,,
Targem Translations,1090,,,,
"The Bridge-World Language Center, Inc.",1091,,,,
"The LanguageWorks, Inc.",1092,,,,
"Total Translations, Inc.",1093,,,,
TRADUCTA,1094,,,,
Trans Clarity,1095,,,,
TransPerfect,1096,,,,
Tribeca Translations,1097,,,,
Ultimate Nutrition,1098,,,,
United Way of Greater Portland,1099,,,,
Unlimited Languages,1100,,,,
"Western Bilingual Employment Services, LLC",1101,,,,
Diplomas and Academic Records,1102,,,,
Birth Certificates,1103,,,,
Other Official Documents,1104,,,,
Battery Dance,1105,,,,
"Precision Language & Graphics, Inc.",1106,,,,
"Transfirex Translation Services, Inc.",1107,,,,
WorldLingo,1108,,,,
New York State,1109,,,,
TechTrans International,1110,,,,
International Translation Company,1111,,,,
Horizon Translating and Interpreting,1112,,,,
FS Language Services,1113,,,,
Techdeforce,1114,,,,
Seven Languages Translating Services,1115,,,,
One Planet,1116,,,,
"Cetra, Inc.",1117,,,,
Park IP Translations,1118,,,,
"The Language Doctors (TLD), Inc.",1119,,,,
Ad-Astra,1120,,,,
Official Translate,1121,,,,
